Tuesday,22,October,2019,10:11:41:63530-VCID:3A38F31575A7B39F97-806E,VCDS Version: Release 19.6.1 (x64),Data version: 20190529 DS308.0
07K 906 032 T,,2.5l R5/4V      G   9653,

,Group A:,'001,,,,Group B:,'026,,,,Group C:,'006
,,Engine Speed,Coolant,Lambda,Basic Setting,,Voltage Cyl. 1,Voltage Cyl. 2,Voltage Cyl. 3,Voltage Cyl. 4,,Engine Speed,Engine Load,Intake Air,Heights Correction
,13.07,4600,86.0,-4.7,10101001,13.19,3.978,3.978,4.329,3.744,12.97,4560,18.0,63.0,-1.6
,13.40,4640,86.0,-3.9,10101001,13.51,3.861,3.744,4.212,4.680,13.29,4600,18.0,63.0,-1.6
,13.74,4720,86.0,-4.7,10101001,13.85,4.680,3.393,5.148,4.914,13.62,4680,18.0,64.0,-1.6
,14.06,4800,86.0,-4.7,10101001,14.17,4.797,4.446,4.329,5.148,13.95,4760,19.5,64.0,-1.6
,14.41,4920,86.0,-4.7,10101001,14.52,5.148,3.978,5.148,5.382,14.29,4880,19.5,64.0,-1.6
,14.75,5000,86.0,-0.8,10101001,14.86,5.148,3.861,5.382,5.265,14.62,5000,18.8,64.0,-1.6
,15.08,4360,86.0,0.0,10110001,15.18,4.446,3.744,3.978,4.914,14.96,4560,12.0,64.0,-1.6
,15.40,3720,86.0,0.0,10110001,15.51,3.393,2.340,3.393,3.978,15.30,3920,13.5,64.0,-1.6
,15.73,3160,86.0,0.0,10110001,15.84,3.042,1.872,2.808,2.925,15.62,3320,12.0,64.0,-1.6
,16.07,2640,86.0,0.0,10110001,16.16,2.106,1.404,2.106,2.457,15.95,2800,11.3,64.0,-1.6
,16.37,2200,86.0,0.0,10110001,16.48,1.638,1.053,1.638,1.989,16.27,2320,12.0,64.0,-1.6
,16.70,1760,85.0,0.0,10110011,16.81,1.287,0.936,1.170,1.638,16.59,1920,13.5,64.0,-1.6
,17.02,1400,85.0,0.0,10110011,17.12,1.053,0.819,1.053,1.404,16.91,1480,12.8,64.0,-1.6
,17.34,1280,85.0,0.0,10110011,17.45,0.936,0.585,0.936,1.170,17.23,1320,13.5,63.0,-1.6
,17.66,1040,85.0,0.0,10110011,17.78,0.819,0.585,0.819,1.053,17.56,1120,13.5,63.0,-1.6
,18.01,920,85.0,0.0,10110011,18.10,0.702,0.468,0.702,0.936,17.89,960,13.5,63.0,-1.6
,18.31,840,85.0,0.0,10110111,18.42,0.702,0.468,0.585,0.819,18.21,840,14.3,63.0,-1.6
,18.63,840,85.0,0.0,10110111,18.74,0.585,0.351,0.585,0.702,18.53,840,14.3,63.0,-1.6
,18.95,840,85.0,0.0,10110111,19.07,0.468,0.351,0.468,0.585,18.84,840,14.3,63.0,-1.6
,19.30,800,85.0,0.0,10110111,19.40,0.468,0.351,0.468,0.585,19.19,840,13.5,63.0,-1.6
,19.62,760,85.0,2.3,10111111,19.73,0.468,0.234,0.468,0.468,19.51,800,13.5,63.0,-1.6
,19.96,720,86.0,3.1,10111111,20.07,0.351,0.234,0.351,0.468,19.86,720,13.5,63.0,-1.6
,20.29,680,86.0,2.3,10111111,20.39,0.351,0.234,0.351,0.468,20.17,680,12.8,63.0,-1.6
,20.60,680,85.0,2.3,10111111,20.71,0.351,0.234,0.351,0.351,20.49,680,12.8,63.0,-1.6
,20.93,680,86.0,1.6,10111111,21.04,0.234,0.234,0.234,0.351,20.82,680,12.8,63.0,-1.6
,21.25,640,86.0,1.6,10111111,21.37,0.234,0.234,0.234,0.351,21.15,640,12.8,63.0,-1.6
,21.57,680,85.0,1.6,10111111,21.67,0.234,0.234,0.234,0.351,21.47,680,12.8,63.0,-1.6
,21.92,640,85.0,0.8,10111111,22.01,0.234,0.234,0.234,0.351,21.79,640,12.8,63.0,-1.6
,22.24,640,86.0,0.0,10111111,22.35,0.234,0.234,0.234,0.351,22.12,640,12.8,63.0,-1.6
,22.56,640,86.0,0.0,10101011,22.67,0.936,0.936,0.936,0.936,22.45,640,12.8,63.0,-1.6
,22.89,1160,85.0,-0.8,10101011,23.00,0.819,0.819,0.702,0.702,22.79,840,34.6,63.0,-1.6
,23.23,2920,86.0,0.0,10101001,23.33,1.872,1.872,1.521,1.872,23.12,2320,54.1,63.0,-1.6
,23.55,5000,86.0,-0.8,10101001,23.67,4.446,3.744,4.914,4.212,23.45,4360,72.2,63.0,-1.6
,23.90,4840,86.0,0.0,10110001,24.01,4.446,3.861,4.446,5.850,23.78,5080,15.0,63.0,-1.6
,24.22,4160,86.0,0.0,10110001,24.33,6.084,5.733,5.616,5.850,24.11,4400,14.3,63.0,-1.6
,24.55,3560,86.0,0.0,10110001,24.66,3.861,2.457,3.276,3.393,24.44,3760,12.8,63.0,-1.6
,24.86,3040,86.0,0.0,10110001,24.97,3.276,1.989,2.574,2.457,24.76,3200,12.0,63.0,-1.6
,25.19,2520,86.0,0.0,10110001,25.30,2.340,1.638,1.989,2.223,25.08,2680,9.8,63.0,-1.6
,25.52,2040,86.0,0.0,10110001,25.63,1.872,1.170,1.404,1.638,25.41,2200,12.8,63.0,-1.6
,25.84,1640,86.0,0.0,10110011,25.94,1.521,0.936,1.170,1.287,25.73,1800,12.8,63.0,-1.6
,26.15,1360,86.0,0.0,10110011,26.26,1.170,0.819,1.053,1.170,26.05,1440,12.8,63.0,-1.6
,26.48,1200,86.0,0.0,10110011,26.58,1.053,0.702,0.936,0.936,26.36,1280,14.3,63.0,-1.6
,26.80,1000,86.0,0.0,10110011,26.91,0.936,0.585,0.819,0.936,26.69,1040,13.5,63.0,-1.6
,27.11,880,86.0,0.0,10110011,27.22,0.819,0.468,0.702,0.819,27.01,920,13.5,63.0,-1.6
,27.44,840,86.0,0.0,10110111,27.55,0.819,0.468,0.585,0.702,27.33,800,14.3,63.0,-1.6
,27.76,840,86.0,0.0,10110111,27.85,0.702,0.468,0.585,0.585,27.65,840,14.3,63.0,-1.6
,28.08,840,86.0,0.0,10110111,28.19,0.585,0.351,0.468,0.585,27.97,840,13.5,63.0,-1.6
,28.41,800,86.0,0.0,10111111,28.52,0.585,0.351,0.468,0.468,28.30,840,13.5,63.0,-1.6
,28.74,760,86.0,3.9,10111111,28.86,0.468,0.351,0.351,0.468,28.63,760,13.5,63.0,-1.6
,29.09,1000,86.0,4.7,10101011,29.19,0.819,0.819,0.819,0.819,28.97,800,21.8,63.0,-1.6
,29.41,2560,87.0,0.0,10110101,29.52,1.521,1.521,1.170,1.638,29.30,2000,61.7,63.0,-1.6
,29.74,2200,86.0,0.0,10110001,29.86,1.404,1.170,1.287,1.404,29.63,2360,15.8,63.0,-1.6
,30.08,1760,86.0,0.0,10110011,30.20,0.936,0.819,0.936,1.170,29.98,1880,13.5,63.0,-1.6
,30.41,1400,86.0,0.0,10100011,30.52,1.638,0.936,1.638,1.872,30.30,1480,12.8,63.0,-1.6
,30.74,2880,86.0,0.0,10101001,30.86,2.457,2.574,2.223,2.223,30.63,2080,64.7,63.0,-1.6
,31.08,2960,86.0,0.0,10110001,31.20,2.691,2.106,2.574,2.574,30.98,3120,18.0,63.0,-1.6
,31.42,2440,87.0,0.0,10100001,31.52,3.861,3.159,3.510,3.276,31.30,2640,14.3,63.0,-1.6
,31.73,2840,87.0,0.0,10100001,31.85,3.042,3.393,2.574,3.159,31.63,2480,28.6,63.0,-1.6
,32.07,4280,86.0,0.0,10110001,32.19,3.744,3.042,3.627,3.744,31.96,4400,52.6,63.0,-1.6
,32.42,3600,87.0,0.0,10110001,32.52,3.861,2.574,3.042,3.510,32.31,3800,15.0,63.0,-1.6
,32.73,3040,87.0,0.0,10110001,32.86,2.925,1.872,2.457,3.042,32.64,3240,14.3,63.0,-1.6
,33.08,2560,87.0,0.0,10110001,33.20,2.223,1.638,1.755,2.223,32.96,2720,13.5,63.0,-1.6
,33.42,2080,87.0,0.0,10110001,33.52,1.872,1.872,1.989,1.872,33.31,2200,14.3,63.0,-1.6
,33.74,1640,87.0,0.0,10110011,33.87,0.819,0.819,0.819,0.936,33.64,1760,13.5,63.0,-1.6
,34.08,1360,87.0,0.0,10110011,34.18,0.702,0.702,0.702,0.819,33.98,1400,13.5,63.0,-1.6
,34.40,1160,87.0,0.0,10110011,34.50,0.585,0.585,0.585,0.702,34.29,1240,14.3,63.0,-1.6
,34.71,1000,87.0,0.0,10110011,34.84,0.468,0.468,0.468,0.585,34.61,1040,13.5,63.0,-1.6
,35.06,840,87.0,0.0,10110011,35.17,0.468,0.468,0.468,0.468,34.95,880,14.3,63.0,-1.6
,35.38,840,87.0,0.0,10110111,35.48,0.468,0.351,0.351,0.468,35.27,840,14.3,63.0,-1.6
,35.70,840,87.0,0.0,10110111,35.83,0.351,0.351,0.351,0.351,35.59,840,14.3,63.0,-1.6
,36.03,760,87.0,0.0,10110111,36.14,0.351,0.351,0.351,0.351,35.93,800,14.3,63.0,-1.6
,36.36,760,87.0,1.6,10111111,36.46,0.351,0.234,0.234,0.351,36.25,760,13.5,63.0,-1.6
,36.67,720,87.0,4.7,10111111,36.78,0.234,0.234,0.234,0.351,36.57,720,13.5,63.0,-1.6
,37.00,680,87.0,3.9,10111111,37.11,0.234,0.234,0.234,0.351,36.90,680,12.8,63.0,-1.6
,37.32,680,87.0,3.1,10111111,37.42,0.234,0.234,0.234,0.234,37.22,680,12.8,63.0,-1.6
,37.64,680,87.0,2.3,10111111,37.75,0.234,0.234,0.234,0.351,37.53,680,12.8,63.0,-1.6
,37.97,680,87.0,1.6,10111111,38.07,0.234,0.234,0.234,0.234,37.86,680,12.8,63.0,-1.6
,38.29,680,87.0,1.6,10101011,38.39,0.936,0.936,0.819,0.936,38.17,640,12.8,63.0,-1.6
,38.61,1760,87.0,-2.3,11101011,38.72,0.702,0.702,0.585,1.170,38.50,1320,46.6,63.0,-1.6
,38.95,2000,87.0,3.1,11101001,39.07,0.585,0.702,0.585,1.053,38.84,2040,18.0,63.0,-1.6
,39.29,1840,87.0,6.3,11101011,39.39,0.468,0.585,0.468,0.702,39.17,1880,14.3,63.0,-1.6
,39.61,1720,87.0,4.7,11101011,39.72,0.351,0.468,0.468,0.585,39.50,1760,13.5,63.0,-1.6
,39.95,1600,87.0,4.7,10101011,40.08,0.351,0.351,0.351,0.468,39.85,1640,13.5,63.0,-1.6
,40.28,1480,87.0,4.7,10101011,40.39,0.351,0.351,0.351,0.468,40.17,1520,13.5,63.0,-1.6
,40.62,1440,87.0,3.1,10101011,40.72,0.351,0.234,0.234,0.351,40.50,1440,14.3,63.0,-1.6
,40.95,1440,87.0,2.3,10101011,41.06,0.351,0.234,0.234,0.351,40.84,1440,14.3,63.0,-1.6
,41.28,1440,87.0,3.1,11101011,41.39,0.234,0.234,0.234,0.351,41.18,1440,14.3,63.0,-1.6
,41.61,1480,87.0,3.1,11101011,41.73,0.351,0.234,0.234,0.468,41.50,1480,14.3,63.0,-1.6
,41.95,1520,87.0,3.1,11101011,42.07,0.351,0.351,0.351,0.351,41.84,1520,14.3,63.0,-1.6
,42.28,1600,87.0,3.9,11101011,42.39,0.351,0.351,0.351,0.468,42.18,1560,14.3,63.0,-1.6
,42.60,1680,87.0,3.9,11101011,42.72,0.351,0.351,0.351,0.468,42.50,1640,13.5,63.0,-1.6
,42.96,1760,87.0,4.7,11101011,43.06,0.351,0.468,0.351,0.468,42.85,1720,13.5,63.0,-1.6
,43.29,1800,87.0,3.9,11101011,43.39,0.468,0.468,0.351,0.585,43.17,1800,14.3,63.0,-1.6
,43.61,1840,87.0,3.1,11101011,43.73,0.468,0.468,0.468,0.585,43.50,1840,14.3,63.0,-1.6
,43.96,1880,87.0,3.1,11101011,44.06,0.468,0.468,0.468,0.585,43.85,1840,14.3,63.0,-1.6
,44.29,1920,87.0,3.1,11101011,44.39,0.468,0.468,0.468,0.585,44.18,1880,14.3,63.0,-1.6
,44.61,1920,87.0,3.1,11101011,44.72,0.468,0.468,0.468,0.585,44.50,1920,14.3,63.0,-1.6
,44.95,1960,87.0,3.1,11101011,45.07,0.468,0.468,0.468,0.585,44.84,1920,14.3,63.0,-1.6
,45.29,2000,87.0,2.3,11101001,45.39,0.468,0.468,0.585,0.702,45.17,1960,14.3,63.0,-1.6
,45.61,2000,87.0,3.1,11101001,45.74,0.585,0.585,0.468,0.702,45.50,2000,14.3,63.0,-1.6
,45.97,2040,87.0,2.3,11101001,46.08,0.702,0.585,0.468,0.702,45.86,2040,14.3,63.0,-1.6
,46.30,2080,87.0,1.6,11101001,46.41,0.702,0.585,0.468,0.702,46.19,2040,14.3,63.0,-1.6
,46.63,2080,87.0,0.8,11101001,46.74,0.702,0.585,0.468,0.702,46.52,2080,14.3,63.0,-1.6
,46.96,2120,87.0,0.8,11101001,47.07,0.702,0.585,0.585,0.702,46.85,2120,14.3,63.0,-1.6
,47.29,2120,87.0,1.6,11110001,47.40,0.702,0.585,0.702,0.702,47.17,2160,14.3,63.0,-1.6
,47.61,1760,87.0,0.0,11110011,47.72,0.702,0.585,0.585,0.819,47.50,1880,15.0,63.0,-1.6
,47.95,1440,87.0,0.0,11110011,48.05,0.702,0.585,0.585,0.702,47.84,1480,12.8,63.0,-1.6
,48.25,1240,87.0,0.0,11110011,48.35,0.702,0.468,0.585,0.702,48.16,1320,15.0,63.0,-1.6
,48.57,1040,87.0,0.0,11110011,48.68,0.585,0.468,0.468,0.585,48.47,1120,15.0,63.0,-1.6
,48.89,920,87.0,0.0,11110011,48.99,0.585,0.351,0.468,0.585,48.79,960,14.3,63.0,-1.6
,49.22,880,87.0,0.0,10110011,49.33,0.468,0.351,0.351,0.468,49.11,880,14.3,63.0,-1.6
,49.55,880,87.0,0.0,10110011,49.66,0.468,0.234,0.351,0.468,49.45,880,14.3,63.0,-1.6
,49.90,880,87.0,0.0,11110111,50.01,0.468,0.234,0.351,0.468,49.77,880,14.3,63.0,-1.6
,50.22,880,87.0,0.0,10111111,50.33,0.351,0.234,0.234,0.351,50.11,880,14.3,63.0,-1.6
,50.55,880,87.0,-0.8,10111111,50.67,0.351,0.234,0.234,0.351,50.44,880,14.3,63.0,-1.6
,50.90,880,87.0,-1.6,10111111,51.01,0.234,0.234,0.234,0.351,50.77,880,13.5,63.0,-1.6
,51.23,840,87.0,-1.6,10111111,51.33,0.234,0.234,0.234,0.351,51.11,840,13.5,63.0,-1.6
,51.55,800,87.0,-2.3,10111111,51.66,0.234,0.234,0.234,0.351,51.44,800,13.5,63.0,-1.6
