Tuesday,10,September,2019,10:44:15:65308-VCID:3A38F3A875A0859F97-806E,VCDS Version: Release 19.6.1 (x64),Data version: 20190529 DS308.0
07K 906 032 T,,2.5l R5/4V      G   9653,

,Group A:,'001,,,,Group B:, Not Running,,,,Group C:, Not Running
,,Engine Speed,Coolant,Lambda,Basic Setting,,,,,,,,,,
,24.48,1840,82.0,0.0,00110011,,,,,,,,,,
,24.63,1640,82.0,0.0,00110011,,,,,,,,,,
,24.78,1440,82.0,0.0,00110011,,,,,,,,,,
,24.94,1360,82.0,0.0,00110011,,,,,,,,,,
,25.10,1280,82.0,0.0,00110011,,,,,,,,,,
,25.25,1160,82.0,0.0,00110011,,,,,,,,,,
,25.41,1080,82.0,0.0,00110011,,,,,,,,,,
,25.56,1000,82.0,0.0,00110011,,,,,,,,,,
,25.72,920,82.0,0.0,00110011,,,,,,,,,,
,25.87,840,82.0,0.0,00110011,,,,,,,,,,
,26.02,800,82.0,0.0,00110111,,,,,,,,,,
,26.17,760,82.0,0.0,00110111,,,,,,,,,,
,26.33,720,82.0,0.0,00110111,,,,,,,,,,
,26.48,720,82.0,0.0,00110111,,,,,,,,,,
,26.62,720,82.0,0.0,00110111,,,,,,,,,,
,26.76,680,82.0,0.0,00110111,,,,,,,,,,
,26.91,680,82.0,0.0,00110111,,,,,,,,,,
,27.06,680,82.0,0.0,00110111,,,,,,,,,,
,27.20,680,82.0,0.0,00110111,,,,,,,,,,
,27.34,680,82.0,0.0,00110111,,,,,,,,,,
,27.48,680,82.0,0.8,00111111,,,,,,,,,,
,27.62,680,82.0,1.6,00111111,,,,,,,,,,
,27.77,680,82.0,2.3,00111111,,,,,,,,,,
,27.92,680,82.0,3.1,00111111,,,,,,,,,,
,28.06,680,82.0,2.3,00111111,,,,,,,,,,
,28.22,680,82.0,2.3,00111111,,,,,,,,,,
,28.37,680,82.0,1.6,00111111,,,,,,,,,,
,28.52,680,82.0,0.8,00111111,,,,,,,,,,
,28.67,680,82.0,0.8,00111111,,,,,,,,,,
,28.83,680,82.0,0.0,00111111,,,,,,,,,,
,28.98,680,82.0,0.0,00101011,,,,,,,,,,
,29.12,760,82.0,0.0,00101011,,,,,,,,,,
,29.27,920,82.0,0.0,00101011,,,,,,,,,,
,29.42,1320,82.0,0.8,00101011,,,,,,,,,,
,29.56,1720,82.0,0.8,00101011,,,,,,,,,,
,29.72,2200,82.0,1.6,00101001,,,,,,,,,,
,29.87,2520,82.0,2.3,00101001,,,,,,,,,,
,30.02,2840,82.0,2.3,00101001,,,,,,,,,,
,30.17,3160,82.0,2.3,00101001,,,,,,,,,,
,30.31,3400,82.0,2.3,00101001,,,,,,,,,,
,30.45,3640,82.0,2.3,00101001,,,,,,,,,,
,30.59,3920,82.0,2.3,00101001,,,,,,,,,,
,30.73,4200,82.0,0.8,00101001,,,,,,,,,,
,30.87,4480,82.0,0.0,00101001,,,,,,,,,,
,31.03,4760,82.0,0.0,00101001,,,,,,,,,,
,31.20,5000,82.0,-0.8,00101001,,,,,,,,,,
,31.35,4920,82.0,0.0,00110001,,,,,,,,,,
,31.50,4560,82.0,0.0,00110001,,,,,,,,,,
,31.65,4240,82.0,0.0,00110001,,,,,,,,,,
,31.82,3920,82.0,0.0,00110001,,,,,,,,,,
,31.97,3640,82.0,0.0,00110001,,,,,,,,,,
,32.11,3360,82.0,0.0,00110001,,,,,,,,,,
,32.25,3120,82.0,0.0,00110001,,,,,,,,,,
,32.41,2880,82.0,0.0,00110001,,,,,,,,,,
,32.57,2640,82.0,0.0,00110001,,,,,,,,,,
,32.72,2400,82.0,0.0,00110001,,,,,,,,,,
,32.86,2200,82.0,0.0,00110001,,,,,,,,,,
,33.00,2000,82.0,0.0,00110001,,,,,,,,,,
,33.16,1800,82.0,0.0,00110011,,,,,,,,,,
,33.32,1600,82.0,0.0,00110011,,,,,,,,,,
,33.47,1400,82.0,0.0,00110011,,,,,,,,,,
,33.61,1360,82.0,0.0,00110011,,,,,,,,,,
,33.75,1280,82.0,0.0,00110011,,,,,,,,,,
,33.90,1160,82.0,0.0,00110011,,,,,,,,,,
,34.05,1080,82.0,0.0,00110011,,,,,,,,,,
,34.21,1000,82.0,0.0,00110011,,,,,,,,,,
,34.36,920,82.0,0.0,00110011,,,,,,,,,,
,34.50,840,82.0,0.0,00110011,,,,,,,,,,
,34.64,800,82.0,0.0,00110111,,,,,,,,,,
,34.78,760,82.0,0.0,00110111,,,,,,,,,,
,34.93,760,82.0,0.0,00110111,,,,,,,,,,
,35.08,760,82.0,0.0,00110111,,,,,,,,,,
,35.24,720,82.0,0.0,00110111,,,,,,,,,,
,35.40,720,82.0,0.0,00110111,,,,,,,,,,
,35.54,720,82.0,0.0,00110111,,,,,,,,,,
,35.69,680,82.0,0.0,00110111,,,,,,,,,,
,35.84,680,82.0,0.0,00110111,,,,,,,,,,
,36.00,680,82.0,0.0,00111111,,,,,,,,,,
,36.16,680,82.0,1.6,00111111,,,,,,,,,,
