Thursday,29,August,2019,10:11:34:65308-VCID:3A38F3A875A0859F97-806E,VCDS Version: Release 19.6.1 (x64),Data version: 20190529 DS308.0
07K 906 032 T,ADVMB,2.5l R5/4V      G   9653,
,,G001,F0,G001,F2,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Group 1 - Field 0,TIME,Group 1 - Field 2,,,,,,,,,,,,,,,,,,,,,
,STAMP,Engine Speed,STAMP,Lambda - Controller,,,,,,,,,,,,,,,,,,,,,
,6.23,800,6.23,0.0,,,,,,,,,,,,,,,,,,,,,
,6.34,800,6.34,0.0,,,,,,,,,,,,,,,,,,,,,
,6.45,800,6.45,0.0,,,,,,,,,,,,,,,,,,,,,
,6.56,760,6.56,0.0,,,,,,,,,,,,,,,,,,,,,
,6.67,760,6.67,0.0,,,,,,,,,,,,,,,,,,,,,
,6.77,760,6.77,0.0,,,,,,,,,,,,,,,,,,,,,
,6.89,720,6.89,0.0,,,,,,,,,,,,,,,,,,,,,
,7.00,720,7.00,0.0,,,,,,,,,,,,,,,,,,,,,
,7.11,720,7.11,0.8,,,,,,,,,,,,,,,,,,,,,
,7.22,680,7.22,0.8,,,,,,,,,,,,,,,,,,,,,
,7.32,680,7.32,1.6,,,,,,,,,,,,,,,,,,,,,
,7.42,680,7.42,1.6,,,,,,,,,,,,,,,,,,,,,
,7.53,680,7.53,1.6,,,,,,,,,,,,,,,,,,,,,
,7.64,680,7.64,1.6,,,,,,,,,,,,,,,,,,,,,
,7.75,680,7.75,1.6,,,,,,,,,,,,,,,,,,,,,
,7.85,680,7.85,0.8,,,,,,,,,,,,,,,,,,,,,
,7.95,680,7.95,0.8,,,,,,,,,,,,,,,,,,,,,
,8.06,680,8.06,0.8,,,,,,,,,,,,,,,,,,,,,
,8.17,800,8.17,0.8,,,,,,,,,,,,,,,,,,,,,
,8.28,1040,8.28,0.0,,,,,,,,,,,,,,,,,,,,,
,8.39,1320,8.39,-0.8,,,,,,,,,,,,,,,,,,,,,
,8.50,1600,8.50,-2.3,,,,,,,,,,,,,,,,,,,,,
,8.61,1880,8.61,-0.8,,,,,,,,,,,,,,,,,,,,,
,8.72,2200,8.72,1.6,,,,,,,,,,,,,,,,,,,,,
,8.83,2560,8.83,1.6,,,,,,,,,,,,,,,,,,,,,
,8.93,2880,8.93,0.8,,,,,,,,,,,,,,,,,,,,,
,9.03,3240,9.03,0.8,,,,,,,,,,,,,,,,,,,,,
,9.14,3560,9.14,0.8,,,,,,,,,,,,,,,,,,,,,
,9.25,3960,9.25,0.0,,,,,,,,,,,,,,,,,,,,,
,9.36,4280,9.36,0.0,,,,,,,,,,,,,,,,,,,,,
,9.47,4600,9.47,-0.8,,,,,,,,,,,,,,,,,,,,,
,9.58,4880,9.58,-0.8,,,,,,,,,,,,,,,,,,,,,
,9.69,5000,9.69,-1.6,,,,,,,,,,,,,,,,,,,,,
,9.80,4920,9.80,-0.8,,,,,,,,,,,,,,,,,,,,,
,9.90,4720,9.91,0.0,,,,,,,,,,,,,,,,,,,,,
,10.01,4480,10.01,0.0,,,,,,,,,,,,,,,,,,,,,
,10.11,4280,10.11,0.0,,,,,,,,,,,,,,,,,,,,,
,10.21,4120,10.21,0.0,,,,,,,,,,,,,,,,,,,,,
,10.30,3920,10.30,0.0,,,,,,,,,,,,,,,,,,,,,
,10.40,3760,10.40,0.0,,,,,,,,,,,,,,,,,,,,,
,10.51,3560,10.51,0.0,,,,,,,,,,,,,,,,,,,,,
,10.62,3360,10.62,0.0,,,,,,,,,,,,,,,,,,,,,
,10.73,3160,10.73,0.0,,,,,,,,,,,,,,,,,,,,,
,10.84,3000,10.84,0.0,,,,,,,,,,,,,,,,,,,,,
,10.96,2800,10.96,0.0,,,,,,,,,,,,,,,,,,,,,
,11.06,2680,11.06,0.0,,,,,,,,,,,,,,,,,,,,,
,11.17,2480,11.17,0.0,,,,,,,,,,,,,,,,,,,,,
,11.28,2360,11.28,0.0,,,,,,,,,,,,,,,,,,,,,
,11.38,2200,11.38,0.0,,,,,,,,,,,,,,,,,,,,,
,11.49,2040,11.49,0.0,,,,,,,,,,,,,,,,,,,,,
,11.59,1920,11.59,0.0,,,,,,,,,,,,,,,,,,,,,
,11.70,1800,11.70,0.0,,,,,,,,,,,,,,,,,,,,,
,11.81,1640,11.81,0.0,,,,,,,,,,,,,,,,,,,,,
,11.92,1520,11.92,0.0,,,,,,,,,,,,,,,,,,,,,
,12.04,1400,12.04,0.0,,,,,,,,,,,,,,,,,,,,,
,12.14,1360,12.14,0.0,,,,,,,,,,,,,,,,,,,,,
,12.25,1320,12.25,0.0,,,,,,,,,,,,,,,,,,,,,
,12.36,1280,12.36,0.0,,,,,,,,,,,,,,,,,,,,,
,12.47,1200,12.47,0.0,,,,,,,,,,,,,,,,,,,,,
,12.57,1120,12.57,0.0,,,,,,,,,,,,,,,,,,,,,
,12.67,1080,12.67,0.0,,,,,,,,,,,,,,,,,,,,,
,12.78,1000,12.78,0.0,,,,,,,,,,,,,,,,,,,,,
,12.88,960,12.88,0.0,,,,,,,,,,,,,,,,,,,,,
,13.00,920,13.00,0.0,,,,,,,,,,,,,,,,,,,,,
,13.11,880,13.11,0.0,,,,,,,,,,,,,,,,,,,,,
,13.22,880,13.22,0.0,,,,,,,,,,,,,,,,,,,,,
,13.33,880,13.33,0.0,,,,,,,,,,,,,,,,,,,,,
,13.43,880,13.43,0.0,,,,,,,,,,,,,,,,,,,,,
,13.53,880,13.53,0.0,,,,,,,,,,,,,,,,,,,,,
,13.63,880,13.63,0.0,,,,,,,,,,,,,,,,,,,,,
,13.74,880,13.74,0.0,,,,,,,,,,,,,,,,,,,,,
,13.84,880,13.84,0.0,,,,,,,,,,,,,,,,,,,,,
,13.96,880,13.96,0.0,,,,,,,,,,,,,,,,,,,,,
,14.07,880,14.07,0.0,,,,,,,,,,,,,,,,,,,,,
,14.17,840,14.17,0.0,,,,,,,,,,,,,,,,,,,,,
,14.28,840,14.28,0.0,,,,,,,,,,,,,,,,,,,,,
,14.38,800,14.38,1.6,,,,,,,,,,,,,,,,,,,,,
,14.50,840,14.50,1.6,,,,,,,,,,,,,,,,,,,,,
,14.61,880,14.61,3.1,,,,,,,,,,,,,,,,,,,,,
,14.71,1080,14.71,3.9,,,,,,,,,,,,,,,,,,,,,
,14.80,1240,14.80,2.3,,,,,,,,,,,,,,,,,,,,,
,14.92,1280,14.92,0.0,,,,,,,,,,,,,,,,,,,,,
,15.03,1280,15.03,-1.6,,,,,,,,,,,,,,,,,,,,,
,15.14,1280,15.14,-1.6,,,,,,,,,,,,,,,,,,,,,
,15.24,1240,15.24,-1.6,,,,,,,,,,,,,,,,,,,,,
,15.36,1240,15.36,-0.8,,,,,,,,,,,,,,,,,,,,,
,15.47,1200,15.47,0.0,,,,,,,,,,,,,,,,,,,,,
,15.57,1200,15.57,0.8,,,,,,,,,,,,,,,,,,,,,
,15.67,1200,15.67,1.6,,,,,,,,,,,,,,,,,,,,,
,15.78,1440,15.79,1.6,,,,,,,,,,,,,,,,,,,,,
,15.89,2000,15.89,-2.3,,,,,,,,,,,,,,,,,,,,,
,15.99,2240,15.99,0.0,,,,,,,,,,,,,,,,,,,,,
,16.11,2120,16.11,0.0,,,,,,,,,,,,,,,,,,,,,
,16.22,1960,16.22,0.0,,,,,,,,,,,,,,,,,,,,,
,16.33,1840,16.33,0.0,,,,,,,,,,,,,,,,,,,,,
,16.43,1720,16.43,0.0,,,,,,,,,,,,,,,,,,,,,
,16.52,1560,16.52,0.0,,,,,,,,,,,,,,,,,,,,,
,16.64,1440,16.64,0.0,,,,,,,,,,,,,,,,,,,,,
,16.75,1480,16.75,0.0,,,,,,,,,,,,,,,,,,,,,
,16.85,1920,16.85,0.0,,,,,,,,,,,,,,,,,,,,,
,16.97,2560,16.97,0.0,,,,,,,,,,,,,,,,,,,,,
,17.08,3320,17.08,0.0,,,,,,,,,,,,,,,,,,,,,
,17.17,3320,17.17,0.0,,,,,,,,,,,,,,,,,,,,,
,17.27,3120,17.27,0.0,,,,,,,,,,,,,,,,,,,,,
,17.38,2960,17.38,0.0,,,,,,,,,,,,,,,,,,,,,
,17.49,2800,17.49,0.0,,,,,,,,,,,,,,,,,,,,,
,17.60,2640,17.60,0.0,,,,,,,,,,,,,,,,,,,,,
,17.72,2480,17.72,0.0,,,,,,,,,,,,,,,,,,,,,
,17.83,2320,17.83,0.0,,,,,,,,,,,,,,,,,,,,,
,17.93,2160,17.93,0.0,,,,,,,,,,,,,,,,,,,,,
,18.04,2000,18.04,0.0,,,,,,,,,,,,,,,,,,,,,
,18.15,1880,18.15,0.0,,,,,,,,,,,,,,,,,,,,,
,18.25,1720,18.25,0.0,,,,,,,,,,,,,,,,,,,,,
,18.35,1600,18.35,0.0,,,,,,,,,,,,,,,,,,,,,
,18.47,1480,18.47,0.0,,,,,,,,,,,,,,,,,,,,,
,18.57,1400,18.57,0.0,,,,,,,,,,,,,,,,,,,,,
,18.67,1360,18.67,0.0,,,,,,,,,,,,,,,,,,,,,
,18.78,1280,18.78,0.0,,,,,,,,,,,,,,,,,,,,,
,18.88,1240,18.88,0.0,,,,,,,,,,,,,,,,,,,,,
,19.00,1120,19.00,0.0,,,,,,,,,,,,,,,,,,,,,
,19.10,1080,19.10,0.0,,,,,,,,,,,,,,,,,,,,,
,19.22,1040,19.22,0.0,,,,,,,,,,,,,,,,,,,,,
,19.33,960,19.33,0.0,,,,,,,,,,,,,,,,,,,,,
,19.43,920,19.43,0.0,,,,,,,,,,,,,,,,,,,,,
,19.53,880,19.53,0.0,,,,,,,,,,,,,,,,,,,,,
,19.64,840,19.64,0.0,,,,,,,,,,,,,,,,,,,,,
,19.76,800,19.76,0.0,,,,,,,,,,,,,,,,,,,,,
,19.86,800,19.86,0.0,,,,,,,,,,,,,,,,,,,,,
,19.97,800,19.97,0.0,,,,,,,,,,,,,,,,,,,,,
,20.07,800,20.07,0.0,,,,,,,,,,,,,,,,,,,,,
,20.18,760,20.18,0.0,,,,,,,,,,,,,,,,,,,,,
,20.28,760,20.28,0.0,,,,,,,,,,,,,,,,,,,,,
,20.38,760,20.38,0.0,,,,,,,,,,,,,,,,,,,,,
,20.50,760,20.50,0.0,,,,,,,,,,,,,,,,,,,,,
,20.60,760,20.60,0.0,,,,,,,,,,,,,,,,,,,,,
,20.71,720,20.71,0.0,,,,,,,,,,,,,,,,,,,,,
,20.80,720,20.80,0.0,,,,,,,,,,,,,,,,,,,,,
,20.91,720,20.91,0.0,,,,,,,,,,,,,,,,,,,,,
,21.02,720,21.02,0.8,,,,,,,,,,,,,,,,,,,,,
,21.13,680,21.13,1.6,,,,,,,,,,,,,,,,,,,,,
,21.25,680,21.25,1.6,,,,,,,,,,,,,,,,,,,,,
,21.34,760,21.34,2.3,,,,,,,,,,,,,,,,,,,,,
,21.45,1200,21.45,0.8,,,,,,,,,,,,,,,,,,,,,
,21.55,1680,21.55,-2.3,,,,,,,,,,,,,,,,,,,,,
,21.64,2280,21.64,-3.1,,,,,,,,,,,,,,,,,,,,,
,21.74,2920,21.74,-1.6,,,,,,,,,,,,,,,,,,,,,
,21.85,3760,21.85,-0.8,,,,,,,,,,,,,,,,,,,,,
,21.97,4480,21.97,-1.6,,,,,,,,,,,,,,,,,,,,,
,22.07,4400,22.07,0.0,,,,,,,,,,,,,,,,,,,,,
,22.18,4160,22.18,0.0,,,,,,,,,,,,,,,,,,,,,
,22.28,4000,22.28,0.0,,,,,,,,,,,,,,,,,,,,,
,22.39,3760,22.39,0.0,,,,,,,,,,,,,,,,,,,,,
,22.49,3600,22.49,0.0,,,,,,,,,,,,,,,,,,,,,
,22.60,3400,22.60,0.0,,,,,,,,,,,,,,,,,,,,,
,22.72,3200,22.72,0.0,,,,,,,,,,,,,,,,,,,,,
,22.82,3040,22.82,0.0,,,,,,,,,,,,,,,,,,,,,
,22.94,2880,22.94,0.0,,,,,,,,,,,,,,,,,,,,,
,23.05,2680,23.05,0.0,,,,,,,,,,,,,,,,,,,,,
,23.16,2520,23.16,0.0,,,,,,,,,,,,,,,,,,,,,
,23.27,2360,23.27,0.0,,,,,,,,,,,,,,,,,,,,,
,23.39,2200,23.39,0.0,,,,,,,,,,,,,,,,,,,,,
,23.49,2040,23.49,0.0,,,,,,,,,,,,,,,,,,,,,
,23.60,1920,23.60,0.0,,,,,,,,,,,,,,,,,,,,,
,23.72,1800,23.72,0.0,,,,,,,,,,,,,,,,,,,,,
,23.82,1640,23.82,0.0,,,,,,,,,,,,,,,,,,,,,
,23.94,1520,23.94,0.0,,,,,,,,,,,,,,,,,,,,,
,24.05,1400,24.05,0.0,,,,,,,,,,,,,,,,,,,,,
,24.16,1320,24.16,0.0,,,,,,,,,,,,,,,,,,,,,
,24.27,1320,24.27,0.0,,,,,,,,,,,,,,,,,,,,,
,24.38,1240,24.38,0.0,,,,,,,,,,,,,,,,,,,,,
,24.50,1160,24.50,0.0,,,,,,,,,,,,,,,,,,,,,
,24.60,1120,24.60,0.0,,,,,,,,,,,,,,,,,,,,,
,24.72,1040,24.72,0.0,,,,,,,,,,,,,,,,,,,,,
,24.82,1000,24.82,0.0,,,,,,,,,,,,,,,,,,,,,
,24.94,920,24.94,0.0,,,,,,,,,,,,,,,,,,,,,
,25.04,880,25.04,0.0,,,,,,,,,,,,,,,,,,,,,
,25.15,880,25.15,0.0,,,,,,,,,,,,,,,,,,,,,
,25.26,840,25.26,0.0,,,,,,,,,,,,,,,,,,,,,
,25.36,840,25.36,0.0,,,,,,,,,,,,,,,,,,,,,
,25.47,840,25.47,0.0,,,,,,,,,,,,,,,,,,,,,
,25.57,880,25.57,0.0,,,,,,,,,,,,,,,,,,,,,
,25.68,880,25.68,0.0,,,,,,,,,,,,,,,,,,,,,
,25.78,880,25.78,0.0,,,,,,,,,,,,,,,,,,,,,
,25.89,840,25.89,0.0,,,,,,,,,,,,,,,,,,,,,
,26.01,840,26.01,0.0,,,,,,,,,,,,,,,,,,,,,
,26.11,840,26.11,0.0,,,,,,,,,,,,,,,,,,,,,
,26.22,840,26.22,0.0,,,,,,,,,,,,,,,,,,,,,
,26.32,800,26.32,0.0,,,,,,,,,,,,,,,,,,,,,
,26.43,760,26.43,0.8,,,,,,,,,,,,,,,,,,,,,
,26.54,760,26.54,1.6,,,,,,,,,,,,,,,,,,,,,
,26.65,760,26.65,3.1,,,,,,,,,,,,,,,,,,,,,
,26.76,720,26.76,3.1,,,,,,,,,,,,,,,,,,,,,
,26.87,720,26.87,3.1,,,,,,,,,,,,,,,,,,,,,
,26.98,720,26.98,3.1,,,,,,,,,,,,,,,,,,,,,
,27.07,680,27.07,2.3,,,,,,,,,,,,,,,,,,,,,
,27.18,680,27.18,2.3,,,,,,,,,,,,,,,,,,,,,
,27.29,680,27.29,1.6,,,,,,,,,,,,,,,,,,,,,
,27.40,680,27.40,1.6,,,,,,,,,,,,,,,,,,,,,
,27.51,680,27.51,1.6,,,,,,,,,,,,,,,,,,,,,
,27.62,760,27.62,0.8,,,,,,,,,,,,,,,,,,,,,
,27.72,1080,27.72,0.0,,,,,,,,,,,,,,,,,,,,,
,27.82,1600,27.82,-1.6,,,,,,,,,,,,,,,,,,,,,
,27.94,2320,27.94,-2.3,,,,,,,,,,,,,,,,,,,,,
,28.04,3040,28.04,-1.6,,,,,,,,,,,,,,,,,,,,,
,28.15,3880,28.15,-0.8,,,,,,,,,,,,,,,,,,,,,
,28.27,4320,28.27,0.0,,,,,,,,,,,,,,,,,,,,,
,28.38,4160,28.38,0.0,,,,,,,,,,,,,,,,,,,,,
,28.48,3960,28.48,0.0,,,,,,,,,,,,,,,,,,,,,
,28.59,3760,28.59,0.0,,,,,,,,,,,,,,,,,,,,,
,28.71,3520,28.71,0.0,,,,,,,,,,,,,,,,,,,,,
1,28.81,3360,28.81,0.0,,,,,,,,,,,,,,,,,,,,,
,28.92,3160,28.92,0.0,,,,,,,,,,,,,,,,,,,,,
,29.03,3000,29.03,0.0,,,,,,,,,,,,,,,,,,,,,
,29.14,2840,29.14,0.0,,,,,,,,,,,,,,,,,,,,,
,29.25,2640,29.25,0.0,,,,,,,,,,,,,,,,,,,,,
,29.36,2480,29.36,0.0,,,,,,,,,,,,,,,,,,,,,
,29.46,2360,29.46,0.0,,,,,,,,,,,,,,,,,,,,,
,29.57,2200,29.57,0.0,,,,,,,,,,,,,,,,,,,,,
,29.67,2080,29.67,0.0,,,,,,,,,,,,,,,,,,,,,
,29.77,1960,29.77,0.0,,,,,,,,,,,,,,,,,,,,,
,29.88,1800,29.88,0.0,,,,,,,,,,,,,,,,,,,,,
,29.98,1680,29.98,0.0,,,,,,,,,,,,,,,,,,,,,
,30.09,1520,30.09,0.0,,,,,,,,,,,,,,,,,,,,,
,30.20,1400,30.20,0.0,,,,,,,,,,,,,,,,,,,,,
,30.31,1320,30.31,0.0,,,,,,,,,,,,,,,,,,,,,
,30.42,1320,30.42,0.0,,,,,,,,,,,,,,,,,,,,,
,30.53,1240,30.53,0.0,,,,,,,,,,,,,,,,,,,,,
,30.64,1160,30.64,0.0,,,,,,,,,,,,,,,,,,,,,
,30.75,1120,30.75,0.0,,,,,,,,,,,,,,,,,,,,,
,30.86,1040,30.86,0.0,,,,,,,,,,,,,,,,,,,,,
,30.98,1000,30.98,0.0,,,,,,,,,,,,,,,,,,,,,
,31.09,920,31.09,0.0,,,,,,,,,,,,,,,,,,,,,
,31.20,880,31.20,0.0,,,,,,,,,,,,,,,,,,,,,
,31.31,840,31.31,0.0,,,,,,,,,,,,,,,,,,,,,
,31.42,840,31.42,0.0,,,,,,,,,,,,,,,,,,,,,
,31.54,840,31.54,0.0,,,,,,,,,,,,,,,,,,,,,
,31.63,840,31.63,0.0,,,,,,,,,,,,,,,,,,,,,
,31.76,840,31.76,0.0,,,,,,,,,,,,,,,,,,,,,
,31.87,840,31.87,0.0,,,,,,,,,,,,,,,,,,,,,
,31.99,800,31.99,0.0,,,,,,,,,,,,,,,,,,,,,
,32.09,800,32.09,0.0,,,,,,,,,,,,,,,,,,,,,
,32.20,760,32.20,0.0,,,,,,,,,,,,,,,,,,,,,
,32.31,760,32.31,0.0,,,,,,,,,,,,,,,,,,,,,
,32.42,760,32.42,0.0,,,,,,,,,,,,,,,,,,,,,
,32.53,720,32.53,0.0,,,,,,,,,,,,,,,,,,,,,
,32.64,720,32.64,0.0,,,,,,,,,,,,,,,,,,,,,
,32.75,720,32.75,0.8,,,,,,,,,,,,,,,,,,,,,
,32.85,680,32.85,1.6,,,,,,,,,,,,,,,,,,,,,
,32.96,680,32.96,2.3,,,,,,,,,,,,,,,,,,,,,
,33.06,680,33.06,3.1,,,,,,,,,,,,,,,,,,,,,
,33.17,680,33.17,3.1,,,,,,,,,,,,,,,,,,,,,
,33.28,680,33.28,3.1,,,,,,,,,,,,,,,,,,,,,
,33.39,680,33.39,2.3,,,,,,,,,,,,,,,,,,,,,
2,33.49,680,33.49,2.3,,,,,,,,,,,,,,,,,,,,,
,33.61,680,33.61,2.3,,,,,,,,,,,,,,,,,,,,,
,33.71,680,33.71,1.6,,,,,,,,,,,,,,,,,,,,,
,33.81,680,33.81,1.6,,,,,,,,,,,,,,,,,,,,,
,33.93,680,33.93,1.6,,,,,,,,,,,,,,,,,,,,,
,34.03,680,34.03,0.8,,,,,,,,,,,,,,,,,,,,,
,34.14,640,34.14,0.8,,,,,,,,,,,,,,,,,,,,,
,34.26,640,34.26,0.8,,,,,,,,,,,,,,,,,,,,,
,34.37,640,34.37,0.8,,,,,,,,,,,,,,,,,,,,,
,34.49,640,34.49,0.8,,,,,,,,,,,,,,,,,,,,,
,34.59,640,34.59,0.0,,,,,,,,,,,,,,,,,,,,,
,34.71,640,34.71,0.0,,,,,,,,,,,,,,,,,,,,,
,34.80,640,34.80,0.0,,,,,,,,,,,,,,,,,,,,,
,34.91,640,34.91,0.0,,,,,,,,,,,,,,,,,,,,,
