#hndoc:?docid=0000583A&xt=hnh:0171CF57B4FEF98F0C9C55D3AC0257EA5BF6A8F79AFA6E92DF5BA854E78076C8
Thu,Jan,09,2020,10:45:15 -VCID:3A3791EB25408951665624-806F,VCDS Mobile: 0.4517
07K 906 032 T,ADVMB,2.5l R5/4V      G    9653,
,,G002,F0,G002,F1,G002,F3,G004,F1,G011,F1,G011,F2,G015,F0,G015,F1,G015,F2,G016,F0,G016,F1,G043,F1,

Marker,TIME,Group 2 - Field 0,TIME,Group 2 - Field 1,TIME,Group 2 - Field 3,TIME,Group 4 - Field 1,TIME,Group 11 - Field 1,TIME,Group 11 - Field 2,TIME,Group 15 - Field 0,TIME,Group 15 - Field 1,TIME,Group 15 - Field 2,TIME,Group 16 - Field 0,TIME,Group 16 - Field 1,TIME,Group 43 - Field 1,
,10.89,4600,10.89,18.8,10.89,24.19,11.10,14.280,11.31,74.0°C,11.31,45.0°C,11.51,4,11.51,0,11.51,0,11.72,0,11.72,0,10.69,222.0°C,
,12.13,5120,12.13,21.8,12.13,30.22,12.34,14.350,12.53,74.0°C,12.53,45.0°C,12.74,4,12.74,0,12.74,0,12.95,0,12.95,0,11.93,240.0°C,
,13.35,3320,13.35,13.5,13.36,12.31,13.56,14.350,13.77,74.0°C,13.77,45.0°C,13.97,4,13.97,0,13.97,0,14.18,0,14.18,0,13.15,252.0°C,
,14.59,1440,14.59,12.8,14.59,5.33,14.78,14.280,15.00,74.0°C,15.00,45.0°C,15.19,4,15.19,0,15.19,0,15.40,1,15.40,0,14.38,252.0°C,
,15.81,840,15.81,14.3,15.81,3.31,16.01,14.210,16.23,74.0°C,16.23,45.0°C,16.42,4,16.42,0,16.42,0,16.64,1,16.64,0,15.60,252.0°C,
,17.04,680,17.04,13.5,17.04,2.56,17.24,14.280,17.46,74.0°C,17.46,45.0°C,17.65,4,17.65,0,17.65,0,17.86,1,17.86,0,16.83,246.0°C,
,18.27,680,18.27,12.8,18.27,2.53,18.48,14.280,18.68,74.0°C,18.68,44.0°C,18.88,4,18.88,0,18.88,0,19.09,1,19.09,0,18.06,246.0°C,
,19.50,680,19.50,12.8,19.50,2.47,19.70,14.350,19.91,74.0°C,19.91,44.0°C,20.11,4,20.11,0,20.11,0,20.32,1,20.32,0,19.29,246.0°C,
,20.73,680,20.73,12.8,20.73,2.47,20.94,14.280,21.14,74.0°C,21.14,44.0°C,21.35,4,21.35,0,21.35,0,21.55,1,21.55,0,20.53,252.0°C,
,21.96,680,21.96,12.8,21.96,2.50,22.17,14.420,22.37,75.0°C,22.37,44.0°C,22.58,4,22.58,0,22.58,0,22.78,1,22.78,0,21.76,252.0°C,
,23.19,680,23.19,12.8,23.19,2.47,23.40,14.210,23.60,75.0°C,23.60,43.0°C,23.81,4,23.81,0,23.81,0,24.01,1,24.01,0,22.99,252.0°C,
,24.42,960,24.42,17.3,24.42,4.56,24.63,14.210,24.83,75.0°C,24.83,43.0°C,25.04,4,25.04,0,25.04,0,25.24,1,25.24,0,24.22,258.0°C,
,25.65,1640,25.65,14.3,25.65,6.50,25.86,14.350,26.06,75.0°C,26.06,43.0°C,26.27,4,26.27,0,26.27,0,26.48,1,26.48,0,25.46,264.0°C,
,26.88,2120,26.88,14.3,26.88,8.42,27.09,14.350,27.29,75.0°C,27.29,44.0°C,27.50,4,27.50,0,27.50,0,27.70,1,27.70,0,26.68,270.0°C,
,28.11,2640,28.11,15.0,28.11,11.22,28.32,14.350,28.52,75.0°C,28.52,44.0°C,28.73,4,28.73,0,28.73,0,28.93,1,28.93,0,27.91,276.0°C,
,29.34,2560,29.34,13.5,29.34,9.67,29.55,14.420,29.75,75.0°C,29.75,44.0°C,29.96,4,29.96,0,29.96,0,30.16,1,30.16,0,29.14,282.0°C,
,30.57,1200,30.57,14.3,30.57,4.83,30.78,14.420,30.98,75.0°C,30.98,44.0°C,31.19,4,31.19,0,31.19,0,31.39,1,31.39,0,30.37,282.0°C,
,31.80,720,31.80,14.3,31.80,3.00,32.01,14.280,32.21,75.0°C,32.21,44.0°C,32.42,4,32.42,0,32.42,0,32.62,1,32.62,0,31.60,276.0°C,
,33.03,680,33.03,13.5,33.03,2.56,33.24,14.350,33.44,76.0°C,33.44,44.0°C,33.65,0,33.65,0,33.65,0,33.85,0,33.85,0,32.83,276.0°C,
,34.26,720,34.26,13.5,34.26,2.75,34.48,14.280,34.68,76.0°C,34.68,43.0°C,34.88,0,34.88,0,34.88,0,35.09,0,35.09,0,34.06,276.0°C,
,35.50,1240,35.50,14.3,35.50,4.78,35.70,14.350,35.91,76.0°C,35.91,43.0°C,36.11,0,36.11,0,36.11,0,36.32,0,36.32,0,35.29,282.0°C,
,36.73,1480,36.73,13.5,36.73,5.69,36.93,14.350,37.14,76.0°C,37.14,43.0°C,37.34,0,37.34,0,37.34,0,37.55,0,37.55,0,36.52,288.0°C,
,37.96,1760,37.96,13.5,37.96,6.72,38.16,14.280,38.37,76.0°C,38.37,44.0°C,38.57,0,38.57,0,38.57,0,38.78,0,38.78,0,37.75,288.0°C,
,39.19,1960,39.19,14.3,39.19,7.81,39.39,14.420,39.60,76.0°C,39.60,44.0°C,39.80,0,39.80,0,39.80,0,40.01,0,40.01,0,38.98,294.0°C,
,40.42,2160,40.42,14.3,40.42,8.72,40.62,14.350,40.83,76.0°C,40.83,44.0°C,41.03,0,41.03,0,41.03,0,41.24,0,41.24,0,40.21,300.0°C,
,41.65,2280,41.65,14.3,41.65,9.11,41.85,14.280,42.06,76.0°C,42.06,44.0°C,42.26,0,42.26,0,42.26,0,42.48,0,42.48,0,41.44,300.0°C,
,42.88,2320,42.88,15.0,42.88,9.44,43.08,14.350,43.28,76.0°C,43.28,44.0°C,43.49,0,43.49,0,43.49,0,43.69,0,43.70,0,42.67,306.0°C,
,44.10,2320,44.10,15.0,44.10,9.56,44.31,14.350,44.51,76.0°C,44.51,44.0°C,44.72,0,44.72,0,44.72,0,44.92,0,44.92,0,43.90,306.0°C,
,45.33,1200,45.33,15.8,45.33,5.28,45.53,14.350,45.74,76.0°C,45.74,44.0°C,45.94,0,45.94,0,45.94,0,46.15,0,46.15,0,45.13,306.0°C,
,46.56,760,46.56,14.3,46.56,3.03,46.76,14.350,46.97,77.0°C,46.97,44.0°C,47.17,0,47.17,0,47.17,0,47.38,0,47.38,0,46.35,300.0°C,
,47.79,680,47.79,12.8,47.79,2.50,47.99,14.140,48.20,77.0°C,48.20,44.0°C,48.40,0,48.40,0,48.40,0,48.61,0,48.61,0,47.58,294.0°C,
,49.02,680,49.02,12.8,49.02,2.42,49.23,14.210,49.43,77.0°C,49.43,44.0°C,49.63,0,49.63,0,49.63,0,49.84,0,49.84,0,48.81,294.0°C,
,50.25,640,50.25,12.8,50.25,2.36,50.47,14.210,50.66,77.0°C,50.66,44.0°C,50.87,0,50.87,0,50.87,0,51.07,0,51.07,0,50.05,294.0°C,
,51.48,680,51.48,13.5,51.48,2.47,51.69,14.280,51.89,77.0°C,51.89,44.0°C,52.10,0,52.10,0,52.10,0,52.30,0,52.30,0,51.28,294.0°C,
,52.71,640,52.71,13.5,52.71,2.44,52.92,14.210,53.12,77.0°C,53.12,44.0°C,53.33,0,53.33,0,53.33,0,53.53,0,53.53,0,52.51,294.0°C,
,53.94,680,53.94,13.5,53.94,2.47,54.15,14.140,54.35,77.0°C,54.35,43.0°C,54.56,0,54.56,0,54.56,0,54.76,0,54.76,0,53.74,300.0°C,
,55.17,680,55.17,12.8,55.17,2.44,55.38,14.140,55.58,78.0°C,55.58,43.0°C,55.79,0,55.79,0,55.79,0,55.99,0,55.99,0,54.97,300.0°C,
,56.40,640,56.40,12.8,56.40,2.42,56.61,14.210,56.81,78.0°C,56.81,43.0°C,57.02,0,57.02,0,57.02,0,57.22,0,57.22,0,56.20,300.0°C,
,57.63,680,57.63,12.8,57.63,2.47,57.84,14.210,58.04,78.0°C,58.04,43.0°C,58.25,0,58.25,0,58.25,0,58.46,0,58.46,0,57.43,300.0°C,
,58.86,680,58.86,12.8,58.86,2.47,59.07,14.280,59.27,78.0°C,59.27,43.0°C,59.48,0,59.48,0,59.48,1,59.68,0,59.68,0,58.66,300.0°C,
,60.09,1720,60.09,28.6,60.09,13.64,60.30,14.350,60.52,78.0°C,60.52,44.0°C,60.71,0,60.71,0,60.71,1,60.91,0,60.91,0,59.89,318.0°C,
,61.33,5240,61.33,17.3,61.33,25.53,61.53,14.350,61.73,78.0°C,61.73,45.0°C,61.93,0,61.93,0,61.93,1,62.14,0,62.14,0,61.12,330.0°C,
,62.55,2720,62.55,13.5,62.55,10.00,62.76,14.350,62.96,78.0°C,62.96,45.0°C,63.17,0,63.17,0,63.17,1,63.37,0,63.37,0,62.34,330.0°C,
,63.78,1280,63.78,14.3,63.78,4.94,63.99,14.350,64.19,78.0°C,64.19,45.0°C,64.40,0,64.40,0,64.40,1,64.60,0,64.60,0,63.58,324.0°C,
,65.01,840,65.01,14.3,65.01,3.39,65.22,14.420,65.42,78.0°C,65.42,45.0°C,65.63,1,65.63,0,65.63,1,65.83,0,65.83,0,64.80,318.0°C,
,66.24,680,66.24,13.5,66.24,2.47,66.45,14.280,66.65,78.0°C,66.65,45.0°C,66.86,1,66.86,0,66.86,1,67.06,0,67.06,0,66.04,318.0°C,
,67.47,680,67.47,13.5,67.47,2.50,67.68,14.140,67.88,78.0°C,67.88,45.0°C,68.09,1,68.09,0,68.09,1,68.29,0,68.29,0,67.27,318.0°C,
,68.70,680,68.70,12.8,68.70,2.44,68.91,14.280,69.11,78.0°C,69.11,45.0°C,69.32,1,69.32,0,69.32,1,69.53,0,69.53,0,68.51,318.0°C,
,69.93,680,69.93,13.5,69.93,2.50,70.14,14.210,70.34,78.0°C,70.34,45.0°C,70.55,1,70.55,0,70.55,1,70.75,0,70.75,0,69.73,318.0°C,
,71.16,680,71.16,12.8,71.16,2.47,71.37,14.280,71.57,78.0°C,71.57,44.0°C,71.78,1,71.78,0,71.78,1,71.98,0,71.98,0,70.96,318.0°C,
,72.39,1000,72.39,13.5,72.39,3.97,72.60,14.210,72.80,78.0°C,72.80,44.0°C,73.01,1,73.01,0,73.01,1,73.21,0,73.21,0,72.19,324.0°C,
,73.62,1280,73.62,13.5,73.62,4.94,73.83,14.350,74.03,78.0°C,74.03,45.0°C,74.24,1,74.24,0,74.24,1,74.44,0,74.44,0,73.42,330.0°C,
,74.85,1480,74.85,14.3,74.85,5.92,75.06,14.350,75.26,78.0°C,75.26,45.0°C,75.47,1,75.47,0,75.47,1,75.67,0,75.67,0,74.65,330.0°C,
,76.08,1760,76.08,13.5,76.08,6.75,76.29,14.350,76.49,78.0°C,76.49,45.0°C,76.70,1,76.70,0,76.70,1,76.90,0,76.90,0,75.88,336.0°C,
,77.31,1920,77.31,14.3,77.31,7.61,77.53,14.420,77.72,78.0°C,77.72,45.0°C,77.93,1,77.93,0,77.93,1,78.13,0,78.13,0,77.11,336.0°C,
,78.55,1480,78.55,14.3,78.55,5.94,78.75,14.280,78.96,78.0°C,78.96,45.0°C,79.16,1,79.16,0,79.16,1,79.37,0,79.37,0,78.34,336.0°C,
,79.78,840,79.78,15.0,79.78,3.44,79.98,14.280,80.19,78.0°C,80.19,45.0°C,80.39,1,80.39,0,80.39,1,80.60,0,80.60,0,79.57,330.0°C,
,81.01,680,81.01,13.5,81.01,2.67,81.21,14.420,81.42,78.0°C,81.42,45.0°C,81.62,1,81.62,0,81.62,1,81.83,0,81.83,0,80.80,324.0°C,
,82.24,640,82.24,13.5,82.24,2.50,82.44,14.280,82.65,78.0°C,82.65,45.0°C,82.85,1,82.85,0,82.85,1,83.06,0,83.06,0,82.03,324.0°C,
,83.47,640,83.47,13.5,83.47,2.50,83.67,14.280,83.88,78.0°C,83.88,45.0°C,84.08,1,84.08,0,84.08,1,84.29,0,84.29,0,83.26,324.0°C,
,84.70,680,84.70,13.5,84.70,2.56,84.90,14.210,85.11,78.0°C,85.11,44.0°C,85.31,2,85.31,0,85.31,1,85.53,0,85.53,0,84.49,324.0°C,
,85.93,680,85.93,13.5,85.93,2.58,86.13,14.420,86.33,78.0°C,86.34,44.0°C,86.54,2,86.54,0,86.54,1,86.75,0,86.75,0,85.72,324.0°C,
,87.15,680,87.15,13.5,87.15,2.50,87.36,14.210,87.57,78.0°C,87.57,44.0°C,87.76,2,87.76,0,87.76,1,87.97,0,87.97,0,86.95,324.0°C,
,88.39,680,88.39,13.5,88.39,2.56,88.58,14.280,88.79,78.0°C,88.79,44.0°C,89.00,2,89.00,0,89.00,1,89.21,0,89.21,0,88.18,324.0°C,
,89.61,680,89.61,13.5,89.61,2.56,89.81,14.140,90.02,78.0°C,90.02,44.0°C,90.22,2,90.22,0,90.22,1,90.43,0,90.43,0,89.40,324.0°C,
,90.84,760,90.84,15.0,90.84,3.22,91.04,14.280,91.25,78.0°C,91.25,44.0°C,91.45,2,91.45,0,91.45,1,91.66,0,91.66,0,90.63,324.0°C,
,92.07,1000,92.07,13.5,92.07,3.89,92.27,14.280,92.48,78.0°C,92.48,44.0°C,92.68,0,92.68,0,92.68,0,92.89,0,92.89,0,91.86,336.0°C,
,93.30,1320,93.30,13.5,93.30,4.97,93.52,14.350,93.71,78.0°C,93.71,45.0°C,93.92,0,93.92,0,93.92,0,94.12,0,94.12,0,93.10,336.0°C,
,94.53,1680,94.53,13.5,94.53,6.44,94.74,14.350,94.94,79.0°C,94.94,45.0°C,95.15,0,95.15,0,95.15,0,95.35,0,95.35,0,94.33,342.0°C,
,95.76,1920,95.76,14.3,95.76,7.61,95.97,14.280,96.17,79.0°C,96.17,45.0°C,96.38,0,96.38,0,96.38,0,96.58,0,96.58,0,95.56,342.0°C,
,96.99,1760,96.99,15.0,96.99,7.36,97.20,14.350,97.40,79.0°C,97.40,45.0°C,97.61,0,97.61,0,97.61,0,97.81,0,97.81,0,96.79,342.0°C,
,98.22,920,98.22,14.3,98.22,3.67,98.43,14.210,98.63,79.0°C,98.63,45.0°C,98.84,0,98.84,0,98.84,0,99.04,0,99.04,0,98.02,336.0°C,
,99.45,720,99.45,13.5,99.45,2.86,99.66,14.210,99.86,79.0°C,99.86,45.0°C,100.07,0,100.07,0,100.07,0,100.27,0,100.27,0,99.25,330.0°C,
,100.68,680,100.68,12.8,100.68,2.47,100.89,14.280,101.09,79.0°C,101.09,45.0°C,101.30,0,101.30,0,101.30,0,101.51,0,101.51,0,100.48,330.0°C,
,101.91,640,101.91,13.5,101.91,2.50,102.12,14.210,102.32,79.0°C,102.32,45.0°C,102.53,0,102.53,0,102.53,0,102.73,0,102.73,0,101.71,330.0°C,
,103.14,640,103.14,12.8,103.14,2.36,103.35,14.350,103.57,79.0°C,103.57,45.0°C,103.76,0,103.76,0,103.76,0,103.96,0,103.96,0,102.94,330.0°C,
,104.37,800,104.37,14.3,104.37,3.22,104.58,14.280,104.78,79.0°C,104.78,45.0°C,104.99,0,104.99,0,104.99,0,105.19,0,105.19,0,104.17,330.0°C,
,105.60,1240,105.60,13.5,105.60,4.72,105.81,14.350,106.01,79.0°C,106.01,45.0°C,106.22,0,106.22,0,106.22,0,106.42,0,106.42,0,105.40,342.0°C,
,106.83,1360,106.83,14.3,106.83,5.25,107.04,14.280,107.25,79.0°C,107.25,45.0°C,107.45,0,107.45,0,107.45,0,107.65,0,107.65,0,106.63,342.0°C,
,108.07,1520,108.07,14.3,108.07,6.06,108.27,14.350,108.48,79.0°C,108.48,45.0°C,108.68,0,108.68,0,108.68,0,108.89,0,108.89,0,107.86,342.0°C,
,109.30,1360,109.30,15.0,109.30,5.61,109.51,14.350,109.71,79.0°C,109.71,45.0°C,109.91,0,109.91,0,109.91,0,110.12,0,110.12,0,109.09,342.0°C,
,110.53,800,110.53,15.0,110.53,3.39,110.73,14.350,110.94,79.0°C,110.94,45.0°C,111.14,0,111.14,0,111.14,0,111.35,0,111.35,0,110.32,336.0°C,
,111.76,680,111.76,13.5,111.76,2.56,111.96,14.210,112.17,80.0°C,112.17,45.0°C,112.37,0,112.37,0,112.37,0,112.58,0,112.58,0,111.57,330.0°C,
,112.99,680,112.99,13.5,112.99,2.53,113.19,14.280,113.40,80.0°C,113.40,45.0°C,113.60,0,113.60,0,113.60,0,113.81,0,113.81,0,112.78,330.0°C,
,114.22,640,114.22,12.8,114.22,2.44,114.42,14.280,114.63,80.0°C,114.63,45.0°C,114.83,0,114.83,0,114.83,0,115.04,0,115.04,0,114.01,330.0°C,
,115.45,680,115.45,13.5,115.45,2.50,115.64,14.210,115.86,80.0°C,115.86,45.0°C,116.06,0,116.06,0,116.06,0,116.26,0,116.27,0,115.24,330.0°C,
,116.68,680,116.68,13.5,116.68,2.50,116.88,14.210,117.08,80.0°C,117.08,45.0°C,117.29,0,117.29,0,117.29,0,117.50,0,117.50,0,116.46,330.0°C,
,117.90,680,117.90,13.5,117.90,2.50,118.11,14.210,118.32,80.0°C,118.32,45.0°C,118.53,1,118.53,0,118.53,0,118.72,0,118.72,0,117.69,330.0°C,

